ticker,calidad,crecimiento,valoracion,solidez,compuesto,exclusion,sector_gics,kpis_con_dato
A,0.10710707369907159,0.026829185950639284,-0.20969765905648519,0.5074597856258043,0.2265374083351743,,Health Care,17
AAPL,0.33426851036973043,-0.09391322688550109,-0.21326659825196534,-0.12814522305157444,-0.10754859549614629,,Information Technology,16
ABBV,0.4640040412106046,0.0980789843174633,-0.7812313084000904,-0.5067058166163971,-0.7037201711849561,,Health Care,16
ABNB,0.5590423752683112,0.4712325679183318,-0.082578321337974,0.09021769966588737,0.6501346477874589,,Consumer Discretionary,8
ABT,0.06760519280068843,-0.14570241812142515,0.062961256247563,0.10578251643698293,-0.047546110141698066,,Health Care,15
ACN,-0.42735922436062407,-0.3118683547738888,0.33814966967487675,0.023204609038624868,-0.2996393887399645,,Information Technology,14
ADBE,0.6432641058670285,-0.2316427226320387,0.43838186907929666,-0.0579645247149303,0.5121948635494078,,Information Technology,16
ADI,0.30651652135745083,0.13542933737536478,0.16107982542936658,0.08408090328531712,0.439379554790292,,Information Technology,13
ADM,-0.43352929865416207,0.20085884316348265,0.46125880223589205,0.26675794026679456,0.32744404564645807,,Consumer Staples,13
ADP,0.8966441321727595,-0.12079774588455672,-0.3509572811275857,-0.46080514385803206,-0.0723169307494526,,Industrials,9
ADSK,0.40874028413676694,0.07043614949790246,-0.07112018021625602,-0.10882438897352102,0.17022257701000476,,Information Technology,17
AEE,0.007966487193282698,-0.11966972501760173,0.027320802701966095,-0.28573755437320275,-0.3516240876306412,,Utilities,15
AEP,0.6829416013193182,0.2520530267388831,0.47605362219059527,-0.9157714427085594,0.44150342408609555,,Utilities,9
AES,0.27139887491536546,0.49148560687253606,0.5044982780840005,-0.28061571426062243,0.8919493130581452,,Utilities,10
AJG,-0.22265766407915388,0.009817004691614553,-0.6579274612680627,-0.37944756687552356,-1.0506192012932718,,Financials,11
AKAM,-0.19545113103100842,-0.23019225425857728,0.23795528430614268,0.1549023905664343,-0.06017358370905531,,Information Technology,13
ALB,-0.34944447731651757,-1.1206832762824013,0.5895890762645231,0.43308765855759,-0.1012613437237619,,Materials,17
ALGN,0.09700652542239009,-0.14676902144547632,0.2284951241214943,-0.46636598495047404,-0.35154765860012593,,Health Care,13
ALLE,0.3107661955436634,-0.012243199058794804,0.345144007638915,0.016213919365241785,0.4540898089709046,,Industrials,12
AMAT,0.03994604168996343,-0.39388857475798816,-0.42351661923438577,0.6557975866793001,-0.12184699310199475,,Information Technology,16
AMCR,-0.6508936501865233,-0.05371591238778976,-0.4278474178196471,-1.0098674797944796,-1.1612190536779505,,Materials,15
AMD,-0.20230578752248737,0.6530195640479439,-0.033061743929149234,0.5887754114961656,0.6609651122389423,,Information Technology,15
AME,0.27860714256662067,0.035739298854236774,0.2477591335779676,0.030061628363165588,0.40286084336231676,,Industrials,15
AMGN,0.36823820046854966,0.0052352207257481504,-0.13814199081723771,-0.5034256028104004,-0.33584515298799167,,Health Care,17
AMT,0.49840387378951373,-0.14324564387656144,-1.0755652773048168,-0.6755976981805272,-1.4420154494590516,,Real Estate,13
AMZN,-0.09999172203404008,-0.296475507236345,-0.21423497555222354,0.3327395176808255,-0.3090906655116658,,Consumer Discretionary,16
ANET,0.6570976797525,0.04970923109677439,0.1033182274297046,0.9157994214841773,1.1602440229047792,,Information Technology,13
AON,0.14426145326312628,-0.11922334455250821,-0.7701915314815725,-0.35546204994273084,-0.8431730803230143,,Financials,13
AOS,0.06782856158368954,-0.20705377294042404,0.5369291184718751,0.23856402971222268,0.43622535137889923,,Industrials,16
APA,0.2102491280049662,-0.31842211928613756,0.8367874391799089,0.04878451157995275,0.408164960855937,,Energy,9
APD,-0.4032517325687406,-0.530078021688236,-1.1070020212485185,-0.6131223451916623,-1.480874675864847,,Materials,12
APH,-0.17873539331366567,0.6301865269783866,0.28410584560483954,0.08809763404980797,0.5341339994239263,,Information Technology,16
APP,1.895903473243744,2.027454488076258,-1.6899947387036611,0.8042693768256712,2.1440106636946665,,Communication Services,12
APTV,-0.6013693271259625,-0.9364491577637265,0.05072364364836801,-0.12973033662835176,-1.2850715388641785,,Consumer Discretionary,16
ATO,0.1493774198938909,-0.07428318586589815,-0.3004182676268376,0.5449340014265747,0.2805065219141069,,Utilities,14
AVB,0.2522079553841383,-0.2325509476136817,0.36092387052346653,1.4322377048811161,1.9323001581469301,,Real Estate,13
